ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
IND,India,urban,Drinking water,2001,92.62825,277994511.1,At least basic
IND,India,rural,Sanitation,2001,2.89715,22449475.31,Basic service
IND,India,urban,Sanitation,2001,27.42971,82321625.64,Basic service
IND,India,rural,Drinking water,2001,45.99984,356444297.4,Basic service
IND,India,rural,Sanitation,2001,1.18974,9219052.588,Limited service
IND,India,urban,Sanitation,2001,17.69475,53105225.13,Limited service
IND,India,rural,Drinking water,2001,4.59125,35576777.77,Limited service
IND,India,urban,Drinking water,2001,2.06896,6209344.171,Limited service
IND,India,rural,Sanitation,2001,88.74016,687631077.6,Open defecation
IND,India,urban,Sanitation,2001,25.4219,76295812.02,Open defecation
IND,India,rural,Sanitation,2001,2.30272,17843378.13,Safely managed service
IND,India,urban,Sanitation,2001,22.16483,66520745.73,Safely managed service
IND,India,rural,Drinking water,2001,30.52542,236535808.3,Safely managed service
IND,India,rural,Drinking water,2001,1.75003,13560681.15,Surface water
IND,India,urban,Drinking water,2001,0.27728,832173.9829,Surface water
IND,India,rural,Sanitation,2001,4.87024,37738552.37,Unimproved
IND,India,urban,Sanitation,2001,7.28882,21875087.49,Unimproved
IND,India,rural,Drinking water,2001,17.13345,132763971.3,Unimproved
IND,India,urban,Drinking water,2001,5.0255,15082459.75,Unimproved
IND,India,urban,Drinking water,2002,92.68442,286206219.4,At least basic
IND,India,rural,Sanitation,2002,4.48894,35216689.4,Basic service
IND,India,urban,Sanitation,2002,27.98535,86417771.27,Basic service
IND,India,rural,Drinking water,2002,45.32411,355577005.1,Basic service
IND,India,rural,Sanitation,2002,1.82343,14305189.67,Limited service
IND,India,urban,Sanitation,2002,17.88606,55231524.25,Limited service
IND,India,rural,Drinking water,2002,4.65637,36530197.75,Limited service
IND,India,urban,Drinking water,2002,2.13095,6580305.687,Limited service
IND,India,rural,Sanitation,2002,85.249,668795988.6,Open defecation
IND,India,urban,Sanitation,2002,24.1359,74530795.57,Open defecation
IND,India,rural,Sanitation,2002,3.69868,29016878.78,Safely managed service
